X,Y,Z
0.06,0.0,-0.3
0.049523452867318574,0.03387370095071508,-0.3095477386934673
0.021752412796717472,0.055918087749146084,-0.31909547738693467
-0.013614966537695401,0.05843485848513227,-0.328643216080402
-0.04422775125070673,0.04054511091741653,-0.33819095477386935
-0.05909758034040663,0.010367063128445965,-0.34723618090452263
-0.05538735366647164,-0.023070350101920645,-0.35628140703517586
-0.0342635524638417,-0.049254532507755744,-0.36532663316582914
-0.0023674199445751633,-0.05995327616407654,-0.3743718592964824
0.02862258846989337,-0.05273279273168762,-0.3829145728643216
0.05156236664561471,-0.030680976938539602,-0.3914572864321608
0.06,-1.4695761589768237e-17,-0.4
