X,Y,Z
0.06,0.0,-0.3
0.059970095347570425,0.0018941129858886317,-0.3005025125628141
0.0598804111998896,0.0037863378787604185,-0.30100502512562816
0.05973103695606635,0.005674788467690696,-0.3015075376884422
0.059522121515595466,0.007557582304063054,-0.30201005025125627
0.059253873129931425,0.009432842578035045,-0.30251256281407035
0.05892655919489882,0.01129869998938307,-0.30301507537688444
0.05854050598414642,0.013153294610861479,-0.30351758793969846
0.058096098323910425,0.014994777742218501,-0.30402010050251255
0.057593779209411416,0.016821313753020865,-0.30452261306532663
0.057034049363266975,0.01863108191245013,-0.3050251256281407
0.056417466736360534,0.020422278204246767,-0.30552763819095474
0.05574464595166383,0.022193117124992806,-0.3060301507537688
0.05501625769156732,0.023941833463940458,-0.3065326633165829
0.05423302802932941,0.025666684062612573,-0.307035175879397
0.053395737705310815,0.027365949552420957,-0.307537688442211
0.052505221348715624,0.02903793606857032,-0.3080402010050251
0.05156236664561472,0.030680976938539602,-0.3085427135678392
0.050568113454081035,0.032293434343457314,-0.30904522613065327
0.049523452867318574,0.03387370095071508,-0.3095477386934673
0.04842942622571912,0.0354202015161917,-0.3100502512562814
0.047287124078831545,0.03693139445449075,-0.31055276381909547
0.046097685098278246,0.03840577337562642,-0.31105527638190955
0.044862294942702545,0.03984186858662587,-0.31155778894472363
0.04358218507587836,0.04123824855655105,-0.31206030150753766
0.042258631539160325,0.04259352134347997,-0.31256281407035175
0.04089295367949802,0.043906335982024605,-0.31306532663316583
0.03948651283428226,0.04517538383000262,-0.3135678391959799
0.03804071097433432,0.04639939987292034,-0.31407035175879394
0.036556989306391,0.04757716398496671,-0.314572864321608
0.03503682683647837,0.04870750214526124,-0.3150753768844221
0.033481738895606405,0.049789287608143544,-0.3155778894472362
0.031893275629254085,0.050821442026337926,-0.3160804020100502
0.030273020452150648,0.051802936525873394,-0.3165829145728643
0.02862258846989337,0.05273279273168762,-0.3170854271356784
0.02694362486897521,0.053610083742892445,-0.31758793969849247
0.02523780327682705,0.05443393505672888,-0.3180904522613065
0.023506824093509588,0.055203525440290474,-0.3185929648241206
0.021752412796717472,0.055918087749146084,-0.31909547738693467
0.019976318221785663,0.05657690969204622,-0.31959798994974875
0.018180310818412364,0.05717933454095035,-0.3201005025125628
0.01636618088583619,0.057724761785667766,-0.32060301507537686
0.01453573678822699,0.058212647732459176,-0.32110552763819095
0.012690803152069144,0.05864250604600243,-0.32160804020100503
0.010833219047334138,0.05901390823418219,-0.32211055276381906
0.008964836154255655,0.059326484075220155,-0.32261306532663314
0.007087516917534483,0.05957992198672017,-0.3231155778894472
0.0052031326898130436,0.059773969336260405,-0.3236180904522613
0.00331356186627049,0.05990843269322273,-0.3241206030150754
0.001420688012197446,0.05998317802160867,-0.3246231155778894
-0.0004736020145827986,0.05999813081364938,-0.3251256281407035
-0.002367419944575162,0.05995327616407654,-0.3256281407035176
-0.00425887797888096,0.05984865878498032,-0.32613065326633167
-0.006146090670996797,0.059684382961239416,-0.3266331658291457
-0.008027176806268741,0.05946061244656752,-0.3271356783919598
-0.009900261277127958,0.05917757030028016,-0.32763819095477387
-0.01176347695223868,0.058835538664944245,-0.32814070351758795
-0.013614966537695401,0.05843485848513227,-0.328643216080402
-0.015452884428413801,0.05797592916756131,-0.32914572864321606
-0.017275398547869983,0.05745920818295577,-0.32964824120603015
-0.019080692174354288,0.05688521061003057,-0.33015075376884423
-0.02086696575191894,0.056254508622049504,-0.33065326633165826
-0.022632438684214554,0.05556773091647047,-0.33115577889447234
-0.024375351109427342,0.054825562088246196,-0.3316582914572864
-0.026093965654547576,0.0540287419474051,-0.3321608040201005
-0.02778656916722086,0.05317806478159252,-0.3326633165829146
-0.02945147442345561,0.052274378564307576,-0.3331658291457286
-0.031087021809484652,0.051318584109624706,-0.3336683417085427
-0.03269158097610423,0.05031163417424264,-0.3341708542713568
-0.03426355246384168,0.04925453250775575,-0.3346733668341708
-0.035801369297331354,0.048148332852094675,-0.3351758793969849
-0.0373034985473097,0.04699413789113343,-0.335678391959799
-0.03876844285867259,0.0457930981515101,-0.33618090452261307
-0.040194741943071315,0.04454641085575698,-0.33668341708542715
-0.0415809740345599,0.043255318728882976,-0.3371859296482412
-0.04292575730684227,0.04192110875959839,-0.33768844221105526
-0.04422775125070673,0.04054511091741653,-0.33819095477386935
-0.04548565801027472,0.039128696826911204,-0.3386934673366834
-0.0466982236767318,0.037673278400451496,-0.33919597989949746
-0.047864239538251155,0.03618030643077687,-0.33969849246231154
-0.04898254328486394,0.03465126914481531,-0.3402010050251256
-0.050052020167075044,0.033087690720186455,-0.3407035175879397
-0.05107160410706967,0.031491129765868105,-0.34120603015075374
-0.052040278761402874,0.02986317776854098,-0.3417085427135678
-0.052957078534112814,0.028205457506160176,-0.3422110552763819
-0.05382108953924781,0.026519621430334747,-0.342713567839196
-0.05463145051184773,0.02480735001912805,-0.34321608040201
-0.055387353666471635,0.02307035010192066,-0.3437185929648241
-0.05608804550241589,0.021310353158005717,-0.3442211055276382
-0.05673282755482002,0.019529113590612695,-0.34472361809045227
-0.05732105709091168,0.017728406978080202,-0.34522613065326635
-0.0578521477506967,0.01591002830392072,-0.3457286432160804
-0.058325570131455416,0.014075790167542132,-0.34623115577889446
-0.05874085231546286,0.01222752097740914,-0.34673366834170855
-0.05909758034040663,0.010367063128445965,-0.34723618090452263
-0.059395398612033426,0.008496271165497095,-0.34773869346733666
-0.059634010258613264,0.006617009934676505,-0.34824120603015074
-0.05981317742686759,0.004731152724448596,-0.3487437185929648
-0.05993272151906661,0.002840579398293492,-0.3492462311557789
-0.05999252337105944,0.0009471745208182092,-0.349748743718593
-0.05999252337105944,-0.000947174520818221,-0.350251256281407
-0.05993272151906661,-0.0028405793982934774,-0.3507537688442211
-0.05981317742686759,-0.004731152724448581,-0.3512562814070352
-0.05963401025861327,-0.006617009934676489,-0.3517587939698492
-0.059395398612033426,-0.008496271165497107,-0.3522613065326633
-0.05909758034040663,-0.010367063128445977,-0.3527638190954774
-0.05874085231546287,-0.012227520977409126,-0.35326633165829147
-0.058325570131455416,-0.014075790167542117,-0.35376884422110555
-0.057852147750696706,-0.01591002830392071,-0.3542713567839196
-0.05732105709091169,-0.01772840697808019,-0.35477386934673366
-0.05673282755482002,-0.01952911359061271,-0.35527638190954774
-0.0560880455024159,-0.021310353158005703,-0.35577889447236183
-0.05538735366647164,-0.023070350101920645,-0.35628140703517586
-0.05463145051184773,-0.024807350019128035,-0.35678391959798994
-0.053821089539247816,-0.026519621430334733,-0.357286432160804
-0.05295707853411281,-0.028205457506160186,-0.3577889447236181
-0.052040278761402874,-0.02986317776854099,-0.35829145728643214
-0.05107160410706968,-0.03149112976586809,-0.3587939698492462
-0.05005202016707505,-0.03308769072018644,-0.3592964824120603
-0.04898254328486395,-0.034651269144815304,-0.35979899497487433
-0.04786423953825117,-0.036180306430776854,-0.3603015075376884
-0.04669822367673179,-0.0376732784004515,-0.3608040201005025
-0.04548565801027473,-0.03912869682691119,-0.3613065326633166
-0.04422775125070674,-0.04054511091741652,-0.36180904522613067
-0.04292575730684228,-0.041921108759598376,-0.3623115577889447
-0.04158097403455992,-0.04325531872888297,-0.3628140703517588
-0.0401947419430713,-0.04454641085575699,-0.36331658291457286
-0.038768442858672605,-0.045793098151510093,-0.3638190954773869
-0.037303498547309716,-0.046994137891133415,-0.364321608040201
-0.03580136929733134,-0.04814833285209468,-0.36482412060301506
-0.0342635524638417,-0.049254532507755744,-0.36532663316582914
-0.03269158097610422,-0.05031163417424265,-0.3658291457286432
-0.031087021809484663,-0.0513185841096247,-0.3663316582914573
-0.029451474423455623,-0.05227437856430757,-0.36683417085427134
-0.02778656916722085,-0.053178064781592524,-0.3673366834170854
-0.02609396565454759,-0.05402874194740509,-0.3678391959798995
-0.024375351109427332,-0.0548255620882462,-0.3683417085427136
-0.02263243868421458,-0.055567730916470465,-0.3688442211055276
-0.020866965751918945,-0.056254508622049504,-0.3693467336683417
-0.019080692174354274,-0.05688521061003057,-0.3698492462311558
-0.017275398547869997,-0.057459208182955766,-0.37035175879396987
-0.015452884428413789,-0.057975929167561314,-0.37085427135678395
-0.013614966537695429,-0.05843485848513226,-0.371356783919598
-0.011763476952238682,-0.058835538664944245,-0.37185929648241206
-0.009900261277127934,-0.05917757030028016,-0.37236180904522614
-0.008027176806268755,-0.05946061244656752,-0.3728643216080402
-0.006146090670996786,-0.05968438296123942,-0.37336683417085426
-0.004258877978880974,-0.05984865878498032,-0.37386934673366834
-0.0023674199445751633,-0.05995327616407654,-0.3743718592964824
-0.0004736020145828266,-0.05999813081364938,-0.37487437185929645
0.0014206880121974315,-0.05998317802160867,-0.37537688442211053
0.0033135618662705015,-0.05990843269322273,-0.3758793969849246
0.005203132689813029,-0.059773969336260405,-0.3763819095477387
0.007087516917534482,-0.05957992198672017,-0.37688442211055273
0.008964836154255628,-0.059326484075220155,-0.3773869346733668
0.010833219047334124,-0.0590139082341822,-0.3778894472361809
0.012690803152069155,-0.05864250604600243,-0.378391959798995
0.014535736788226975,-0.058212647732459176,-0.37889447236180906
0.01636618088583619,-0.057724761785667766,-0.3793969849246231
0.018180310818412336,-0.057179334540950366,-0.3798994974874372
0.019976318221785663,-0.05657690969204622,-0.38040201005025126
0.021752412796717482,-0.055918087749146084,-0.3809045226130653
0.023506824093509574,-0.055203525440290474,-0.38140703517587937
0.025237803276827057,-0.054433935056728874,-0.38190954773869346
0.026943624868975186,-0.05361008374289246,-0.38241206030150754
0.02862258846989337,-0.05273279273168762,-0.3829145728643216
0.030273020452150662,-0.051802936525873394,-0.3834170854271357
0.03189327562925407,-0.05082144202633793,-0.38391959798994973
0.03348173889560641,-0.049789287608143544,-0.3844221105527638
0.03503682683647835,-0.048707502145261254,-0.3849246231155779
0.036556989306391,-0.04757716398496671,-0.38542713567839193
0.038040710974334334,-0.04639939987292033,-0.385929648241206
0.03948651283428225,-0.04517538383000263,-0.3864321608040201
0.04089295367949804,-0.0439063359820246,-0.3869346733668342
0.04225863153916031,-0.04259352134347998,-0.3874371859296482
0.043582185075878355,-0.04123824855655105,-0.3879396984924623
0.044862294942702524,-0.039841868586625896,-0.3884422110552764
0.04609768509827823,-0.03840577337562644,-0.38894472361809046
0.04728712407883155,-0.036931394454490736,-0.3894472361809045
0.04842942622571911,-0.03542020151619172,-0.38994974874371857
0.049523452867318574,-0.03387370095071508,-0.39045226130653266
0.05056811345408102,-0.03229343434345734,-0.39095477386934674
0.05156236664561471,-0.030680976938539602,-0.3914572864321608
0.05250522134871563,-0.029037936068570313,-0.3919597989949749
0.0533957377053108,-0.02736594955242097,-0.39246231155778893
0.05423302802932941,-0.02566668406261257,-0.392964824120603
0.05501625769156731,-0.023941833463940486,-0.3934673366834171
0.055744645951663827,-0.022193117124992816,-0.39396984924623113
0.056417466736360534,-0.020422278204246757,-0.3944723618090452
0.05703404936326697,-0.018631081912450144,-0.3949748743718593
0.057593779209411416,-0.01682131375302086,-0.3954773869346734
0.05809609832391042,-0.014994777742218527,-0.3959798994974874
0.05854050598414642,-0.013153294610861486,-0.3964824120603015
0.05892655919489882,-0.011298699989383057,-0.3969849246231156
0.05925387312993142,-0.009432842578035063,-0.39748743718592966
0.059522121515595466,-0.007557582304063048,-0.3979899497487437
0.059731036956066345,-0.005674788467690723,-0.39849246231155777
0.0598804111998896,-0.003786337878760423,-0.39899497487437185
0.059970095347570425,-0.0018941129858886145,-0.39949748743718594
0.06,-1.4695761589768237e-17,-0.4
